Entry	Gene names	Length
P09471	GNAO1	354
Q9UBP9	GULP1 CED6 GULP	304
P23610	F8A1; F8A2; F8A3	371
P08476	INHBA	426
Q96GX5	MASTL GW GWL THC2	879
Q13322	GRB10 GRBIR KIAA0207	594
Q9H3H5	DPAGT1 DPAGT2	408
P51787	KCNQ1 KCNA8 KCNA9 KVLQT1	676
P12544	GZMA CTLA3 HFSP	262
Q53H82	LACTB2 CGI-83	288
P36551	CPOX CPO CPX	454
O95714	HERC2	4834
P02042	HBD	147
Q9BUP3	HTATIP2 CC3 TIP30	242
O00198	HRK BID3	91
P50135	HNMT	292
Q95460	MR1	341
P35225	IL13 NC30	146
Q02535	ID3 1R21 BHLHB25 HEIR1	119
P01591	JCHAIN IGCJ IGJ	159
O14879	IFIT3 CIG-49 IFI60 IFIT4 ISG60	490
O00410	IPO5 KPNB3 RANBP5	1097
Q8NFU5	IPMK IMPK	416
P02795	MT2A CES1 MT2	61
Q9UQV4	LAMP3 DCLAMP TSC403	416
P42166	TMPO LAP2	694
Q9UN81	L1RE1 LRE1	338
Q9Y3R4	NEU2	380
Q8NEM0	MCPH1	835
Q13823	GNL2 NGP1	731
Q8NFZ4	NLGN2 KIAA1366	835
O75376	NCOR1 KIAA1047	2440
P35658	NUP214 CAIN CAN KIAA0023	2090
Q9P121	NTM IGLON2 NT UNQ297/PRO337	344
O95989	NUDT3 DIPP DIPP1	172
P49116	NR2C2 TAK1 TR4	596
Q9NUX5	POT1	634
Q8TCD5	NT5C DNT1 UMPH2	201
O00567	NOP56 NOL5A	594
Q9Y266	NUDC	331
Q86UR1	NOXA1 P51NOX	476
O15259	NPHP1 NPH1	732
O15118	NPC1	1278
P46531	NOTCH1 TAN1	2555
P41143	OPRD1 OPRD	372
O75147	OBSL1 KIAA0657	1896
Q9UBD5	ORC3 LATHEO ORC3L	711
O00330	PDHX PDX1	501
Q9NVJ2	ARL8B ARL10C GIE1	186
Q9Y6A2	CYP46A1 CYP46	500
P21964	COMT	271
O95727	CRTAM	393
P07333	CSF1R FMS	972
O15371	EIF3D EIF3S7	548
Q9NVH0	EXD2 C14orf114 EXDL2	621
Q96DN0	ERP27 C12orf46 UNQ781/PRO1575	273
P15090	FABP4	132
P05413	FABP3 FABP11 MDGI	133
Q9UKC9	FBXL2 FBL2 FBL3	423
Q92913	FGF13 FHF2	245
P35637	FUS TLS	526
P23945	FSHR LGR1	695
Q92837	FRAT1	279
Q68CZ1	RPGRIP1L FTM KIAA1005 NPHP8	1315
O95633	FSTL3 FLRG UNQ674/PRO1308	263
P19883	FST	344
O43681	GET3 ARSA ASNA1 TRC40	348
P50440	GATM AGAT	423
O95166	GABARAP FLC3B HT004	117
Q92917	GPKOW GPATC5 GPATCH5 T54	476
Q9Y5P6	GMPPB	360
P46199	MTIF2	727
P42701	IL12RB1 IL12R IL12RB	662
P35557	GCK	465
O95256	IL18RAP IL1R7	599
Q8NC96	NECAP1	275
P45983	MAPK8 JNK1 PRKM8 SAPK1 SAPK1C	427
Q9NVV4	MTPAP PAPD1	582
P05120	SERPINB2 PAI2 PLANH2	415
P21757	MSR1 SCARA1	451
Q9NRP0	OSTC DC2 HDCMD45P HSPC307	149
P56278	MTCP1 C6.1B	107
O75438	NDUFB1	58
O15226	NKRF ITBA4 NRF	690
P28331	NDUFS1	727
Q8N2Q7	NLGN1 KIAA1070	863
Q96IY1	NSL1 C1orf48 DC31 DC8 MIS14	281
P48147	PREP PEP	710
Q14994	NR1I3 CAR	352
Q68D85	NCR3LG1 B7H6	454
P40616	ARL1	181
Q9H0F7	ARL6 BBS3	186
P11245	NAT2 AAC2	290
P18848	ATF4 CREB2 TXREB	351
Q8WXH4	ASB11	323
O75815	BCAR3 NSP2 SH2D3B UNQ271/PRO308	825
Q86UU0	BCL9L DLNB11	1499
P56945	BCAR1 CAS CASS1 CRKAS	870
Q53S33	BOLA3	107
P35613	BSG UNQ6505/PRO21383	385
Q14999	CUL7 KIAA0076	1698
P61769	B2M CDABP0092 HDCMA22P	119
Q9NY97	B3GNT2 B3GALT7 B3GNT1	397
P02730	SLC4A1 AE1 DI EPB3	911
Q9UNS2	COPS3 CSN3	423
Q8NFJ9	BBS1 BBS2L2	593
P29033	GJB2	226
Q9Y5B0	CTDP1 FCP1	961
Q96RK4	BBS4	519
Q9GZU7	CTDSP1 NIF3 NLIIF SCP1	261
O60716	CTNND1 KIAA0384	968
Q8WTX7	CASTOR1 GATSL3	329
Q9UKL3	CASP8AP2 FLASH KIAA1315 RIP25	1982
P14091	CTSE	396
P49662	CASP4 ICH2	377
Q8WUQ7	CACTIN C19orf29	758
P55210	CASP7 MCH3	303
Q16602	CALCRL CGRPR	461
Q9ULU8	CADPS CAPS CAPS1 KIAA1121	1353
P45973	CBX5 HP1A	191
Q05329	GAD2 GAD65	585
Q8N126	CADM3 IGSF4B NECL1 SYNCAM3 TSLL1 UNQ225/PRO258	398
P12830	CDH1 CDHE UVO	882
Q8WUX2	CHAC2	184
Q9NR16	CD163L1 CD163B M160 UNQ6434/PRO23202	1453
Q92772	CDKL2	493
Q96SN8	CDK5RAP2 CEP215 KIAA1633	1893
Q6FI81	CIAPIN1 CUA001 PRO0915	312
O94829	IPO13 KIAA0724 RANBP13	963
Q6ZWB6	KCTD8	473
P05162	LGALS2	132
Q9NRM7	LATS2 KPM	1088
P11047	LAMC1 LAMB2	1609
Q969E1	LEAP2	77
Q8N1G4	LRRC47 KIAA1185	583
P07098	LIPF	398
Q8IZK6	MCOLN2	566
Q12866	MERTK MER	999
Q9BZD4	NUF2 CDCA1 NUF2R	464
P51512	MMP16 C8orf57 MMPX2	607
O60882	MMP20	483
P03971	AMH MIF	560
Q9H867	VCPKMT C14orf138 METTL21D	229
P98088	MUC5AC MUC5	5654
Q9HC36	MRM3 RNMTL1 HC90	420
Q9H4K7	MTG2 GTPBP5 OBGH1	406
O00244	ATOX1 HAH1	68
P25440	BRD2 KIAA9001 RING3	801
P46736	BRCC3 BRCC36 C6.1A CXorf53	316
O43570	CA12	354
Q13936	CACNA1C CACH2 CACN2 CACNL1A1 CCHL1A1	2221
Q14839	CHD4	1912
P0DN86	CGB3 CGB; CGB5; CGB8	165
Q13231	CHIT1	466
Q9UBS3	DNAJB9 MDG1 UNQ743/PRO1471	223
Q9UJX2	CDC23 ANAPC8	597
Q9Y6F7	CDY2A CDY2; CDY2B	541
Q9NZQ0	DNAJC27 RABJS RBJ	273
P18858	LIG1	919
Q96LL9	DNAJC30 WBSCR18	226
P09417	QDPR DHPR SDR33C1	244
O60308	CEP104 KIAA0562	925
P06731	CEACAM5 CEA	702
P49715	CEBPA CEBP	358
O00311	CDC7 CDC7L1	574
Q69YH5	CDCA2	1023
P32238	CCKAR CCKRA	428
P78556	CCL20 LARC MIP3A SCYA20	96
Q9BXF3	CECR2 KIAA1740	1484
Q92583	CCL17 SCYA17 TARC	94
O00585	CCL21 SCYA21 UNQ784/PRO1600	134
Q08495	DMTN DMT EPB49	405
P13501	CCL5 D17S136E SCYA5	91
Q9Y5K6	CD2AP	639
Q9BYE9	CDHR2 PCDH24 PCLKC	1310
Q8TEH3	DENND1A FAM31A KIAA1608	1009
P20138	CD33 SIGLEC3	364
P28907	CD38	300
Q00534	CDK6 CDKN6	326
P50613	CDK7 CAK CAK1 CDKN7 MO15 STK1	346
P41597	CCR2 CMKBR2	374
P07766	CD3E T3E	207
Q9NRI5	DISC1 KIAA0457	854
Q96F81	DISP1 DISPA	1524
Q7Z624	CAMKMT C2orf34 CLNMT	323
Q155Q3	DIXDC1 CCD1 KIAA1735	683
O15516	CLOCK BHLHE8 KIAA0334	846
Q969H4	CNKSR1 CNK1	720
P16562	CRISP2 GAPDL5 TPX1	243
P02511	CRYAB CRYA2 HSPB5	175
Q16630	CPSF6 CFIM68	551
Q9Y262	EIF3L EIF3EIP EIF3S6IP HSPC021 HSPC025 MSTP005	564
O43921	EFNA2 EPLG6 LERK6	213
P18146	EGR1 KROX24 ZNF225	543
Q13868	EXOSC2 RRP4	293
Q96B26	EXOSC8 OIP2 RRP43	276
P50549	ETV1 ER81	477
P14625	HSP90B1 GRP94 TRA1	803
P36969	GPX4	197
P11171	EPB41 E41P	864
Q8NFG4	FLCN BHD	579
Q03591	CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2	330
P16591	FER TYK3	822
P12319	FCER1A FCE1A	257
P22749	GNLY LAG2 NKG5 TLA519	145
P29992	GNA11 GA11	359
Q5T8I9	HENMT1 C1orf59	393
P17693	HLA-G HLA-6.0 HLAG	338
Q02363	ID2 BHLHB26	134
P01834	IGKC	107
Q9BYX4	IFIH1 MDA5 RH116	1025
P23588	EIF4B	611
Q9NV31	IMP3 C15orf12 MRPS4	184
P19827	ITIH1 IGHEP1	911
Q92985	IRF7	503
Q9UK32	RPS6KA6 RSK4	745
Q9NS86	LANCL2 GPR69B TASP	450
Q9Y4K0	LOXL2	774
Q9HBL8	NMRAL1 HSCARG	299
O60942	RNGTT CAP1A	597
Q8N2G4	LYPD1 LYPDC1 PSEC0181 UNQ3079/PRO9917	141
Q9NPJ6	MED4 ARC36 DRIP36 VDRIP HSPC126	270
Q9UHI8	ADAMTS1 KIAA1346 METH1	967
Q5T5X7	BEND3 KIAA1553	828
O15382	BCAT2 BCATM BCT2 ECA40	392
Q9HD36	BCL2L10 BCLB	204
Q13620	CUL4B KIAA0695	913
Q16548	BCL2A1 BCL2L5 BFL1 GRS HBPA1	175
O94766	B3GAT3	335
P14406	COX7A2 COX7AL	83
P61201	COPS2 CSN2 TRIP15	443
P17302	GJA1 GJAL	382
Q9UIF9	BAZ2A KIAA0314 TIP5	1905
Q9H6S1	AZI2 NAP1 TBKBP2	392
Q53HL2	CDCA8 PESCRG3	280
Q8WYA6	CTNNBL1 C20orf33 PP8304	563
Q8WWM9	CYGB STAP	190
P50461	CSRP3 CLP MLP	194
Q13363	CTBP1 CTBP	440
Q15438	CYTH1 D17S811E PSCD1	398
Q99418	CYTH2 ARNO PSCD2 PSCD2L	400
P56545	CTBP2	445
Q9BT78	COPS4 CSN4	406
P78310	CXADR CAR	365
O43739	CYTH3 ARNO3 GRP1 PSCD3	400
Q2NKJ3	CTC1 C17orf68	1217
P08034	GJB1 CX32	283
P49711	CTCF	727
P06881	CALCA CALC1	128
Q9UHG0	DCDC2 KIAA1154 RU2	476
P35520	CBS	551
Q14444	CAPRIN1 GPIAP1 GPIP137 M11S1 RNG105	709
O43497	CACNA1G KIAA1123	2377
P55290	CDH13 CDHH	713
P27707	DCK	260
P11586	MTHFD1 MTHFC MTHFD	935
Q9BY43	CHMP4A C14orf123 SHAX2 CDA04 HSPC134	222
P51686	CCR9 GPR28	369
Q5SW79	CEP170 FAM68A KAB KIAA0470	1584
Q9UPV0	CEP164 KIAA1052 NPHP15	1460
Q5VT06	CEP350 CAP350 KIAA0480 GM133	3117
P22362	CCL1 SCYA1	96
P55774	CCL18 AMAC1 DCCK1 MIP4 PARC SCYA18	89
P11836	MS4A1 CD20	297
P32320	CDA CDD	146
P20273	CD22 SIGLEC2	847
Q96LJ7	DHRS1 SDR19C1	313
Q9Y258	CCL26 SCYA26 UNQ216/PRO242	94
Q9Y4X3	CCL27 ILC SCYA27	112
Q9NRJ3	CCL28 SCYA28	127
Q9NSV4	DIAPH3 DIAP3	1193
P09622	DLD GCSL LAD PHE3	509
P13236	CCL4 LAG1 MIP1B SCYA4	92
P10747	CD28	220
P05156	CFI IF	583
P80098	CCL7 MCP3 SCYA6 SCYA7	99
P10645	CHGA	457
Q16281	CNGA3 CNCG3	694
Q99967	CITED2 MRG1	270
P51800	CLCNKA	687
Q13324	CRHR2 CRF2R CRH2R	411
P11712	CYP2C9 CYP2C10	490
P53673	CRYBA4	196
Q14019	COTL1 CLP	142
O14810	CPLX1	134
Q9Y2S2	CRYL1 CRY	319
Q16828	DUSP6 MKP3 PYST1	381
Q8NE35	CPEB3 KIAA0940	698
P51553	IDH3G	393
O43837	IDH3B	385
P50213	IDH3A	366
Q8NB78	KDM1B AOF1 C6orf193 LSD2	822
P12277	CKB CKBB	381
Q5T2T1	MPP7	576
B2RXH2	KDM4E KDM4DL	506
Q3ZCW2	LGALSL GRP HSPC159	172
Q15418	RPS6KA1 MAPKAPK1A RSK1	735
Q9BYJ1	ALOXE3	711
Q9NQG6	MIEF1 MID51 SMCR7L	463
Q9NPC7	MYNN OSZF ZBTB31 SBBIZ1	610
O95299	NDUFA10	355
Q9ULJ8	PPP1R9A KIAA1222	1098
Q9BSC4	NOL10	688
P14598	NCF1 NOXO2 SH3PXD1A	390
O95944	NCR2 LY95	276
O60678	PRMT3 HRMT1L3	531
P08758	ANXA5 ANX5 ENX2 PP4	320
P28039	AOAH	575
O00499	BIN1 AMPHL	593
P08236	GUSB	651
P16442	ABO	354
Q12830	BPTF FAC1 FALZ	3046
Q9P2W7	B3GAT1 GLCATP	334
O60729	CDC14B	498
P25774	CTSS	331
Q9UBR2	CTSZ	303
Q8N1Q1	CA13	262
Q16667	CDKN3 CDI1 CIP2 KAP	212
O14757	CHEK1 CHK1	476
P01732	CD8A MAL	235
Q09013	DMPK DM1PK MDPK	629
Q53EZ4	CEP55 C10orf3 URCC6	464
Q9NRW4	DUSP22 JSP1 LMWDSP2 MKPX	184
Q9C0A0	CNTNAP4 CASPR4 KIAA1763	1308
P51798	CLCN7	805
P53674	CRYBB1	252
P33260	CYP2C18	490
P78560	CRADD RAIDD	199
Q14061	COX17	63
O60888	CUTA ACHAP C6orf82	179
Q96EX3	DYNC2I2 WDR34	536
P60022	DEFB1 BD1 HBD1	68
P17813	ENG END	658
Q8TE68	EPS8L1 DRC3 EPS8R1 PP10566	723
Q8IV48	ERI1 3'EXO THEX1	349
P62508	ESRRG ERR3 ERRG2 KIAA0832 NR3B3	458
P23141	CES1 CES2 SES1	567
Q9NQT5	EXOSC3 RRP40 CGI-102	275
Q15485	FCN2 FCNL	313
Q96CS3	FAF2 ETEA KIAA0887 UBXD8 UBXN3B	445
Q9UBX0	HESX1 HANF	185
P31371	FGF9	208
P55040	GEM KIR	296
Q9BXV9	GON7 C14orf142	100
P38919	EIF4A3 DDX48 KIAA0111	411
Q9Y6Y9	LY96 ESOP1 MD2	160
Q14626	IL11RA	422
P07942	LAMB1	1786
P24043	LAMA2 LAMM	3122
Q13601	KRR1 HRB2	381
O75449	KATNA1	491
D6RGH6	MCIDAS IDAS MCI MCIN	385
Q5VZF2	MBNL2 MBLL MBLL39 MLP1	373
P43358	MAGEA4 MAGE4	317
Q29980	MICB PERB11.2	383
Q9Y618	NCOR2 CTG26	2514
Q96RN5	MED15 ARC105 CTG7A PCQAP TIG1 TNRC7	788
Q8IYU8	MICU2 EFHA1	434
P08581	MET	1390
O00566	MPHOSPH10 MPP10	681
Q9UGB7	MIOX ALDRL6 KSP32 RSOR	285
P58340	MLF1	268
Q96E29	MTERF3 MTERFD1 CGI-12	417
Q9Y483	MTF2 PCL2	593
O75629	CREG1 CREG UNQ727/PRO1409	220
Q53SF7	COBLL1 KIAA0977	1128
P04080	CSTB CST6 STFB	98
O75460	ERN1 IRE1	977
Q92800	EZH1 KIAA0388	747
P19235	EPOR	508
Q15024	EXOSC7 KIAA0116 RRP42	291
Q14416	GRM2 GPRC1B MGLUR2	872
Q14832	GRM3 GPRC1C MGLUR3	879
P0C0S8	H2AC11 H2AFP HIST1H2AG; H2AC13 H2AFC HIST1H2AI; H2AC15 H2AFD HIST1H2AK; H2AC16 H2AFI HIST1H2AL; H2AC17 H2AFN HIST1H2AM	130
O00222	GRM8 GPRC1H MGLUR8	908
O14944	EREG	169
Q16777	H2AC20 H2AFQ HIST2H2AC	129
Q6UW88	EPGN UNQ3072/PRO9904	154
P98073	TMPRSS15 ENTK PRSS7	1019
P54756	EPHA5 BSK EHK1 HEK7 TYRO4	1037
P62993	GRB2 ASH	217
Q9NWM8	FKBP14 FKBP22 UNQ322/PRO381	211
Q14318	FKBP8 FKBP38	412
Q9Y613	FHOD1 FHOS FHOS1	1164
Q02790	FKBP4 FKBP52	459
Q9NZ56	FMN2	1722
P23416	GLRA2	452
Q9NXR8	ING3 HSPC301	418
Q8N201	INTS1 KIAA1440 UNQ1821/PRO3434	2190
O15503	INSIG1	277
Q9UNL4	ING4 My036	249
Q9H0H0	INTS2 KIAA1287	1204
Q9Y5U4	INSIG2	225
Q8WYH8	ING5	240
P43631	KIR2DS2 CD158J NKAT5	304
P54819	AK2 ADK2	239
P43632	KIR2DS4 CD158I KKA3 NKAT8	304
P15260	IFNGR1	489
Q96HW7	INTS4 MSTP093	963
Q02747	GUCA2A GUCA2	115
Q6P9B9	INTS5 KIAA1698	1019
Q9UBQ7	GRHPR GLXR MSTP035	328
P10412	H1-4 H1F4 HIST1H1E	219
P28161	GSTM2 GST4	218
Q03013	GSTM4	218
Q9H4Y5	GSTO2	243
Q9Y3R0	GRIP1	1128
Q6EKJ0	GTF2IRD2B	949
P23458	JAK1 JAK1A JAK1B	1154
P13612	ITGA4 CD49D	1032
O60674	JAK2	1132
P08648	ITGA5 FNRA	1049
P23229	ITGA6	1130
P52333	JAK3	1124
P20701	ITGAL CD11A	1170
P11215	ITGAM CD11B CR3A	1152
Q9Y2U9	KLHDC2 HCA33	406
Q16774	GUK1 GMK GMPK	197
P48729	CSNK1A1	337
Q13118	KLF10 TIEG TIEG1	480
P48730	CSNK1D HCKID	415
P49674	CSNK1E	416
Q9HCP0	CSNK1G1	422
Q13351	KLF1 EKLF	362
Q9Y6M4	CSNK1G3	447
O43474	KLF4 EZF GKLF	513
Q13887	KLF5 BTEB2 CKLF IKLF	457
Q9NVR0	KLHL11	708
Q13303	KCNAB2 KCNA2B KCNK2	367
Q53G59	KLHL12 C3IP1	568
Q14012	CAMK1	370
P32297	CHRNA3 NACHRA3	505
P78314	SH3BP2 3BP2 RES4-23	561
Q9Y478	PRKAB1 AMPK	270
Q7Z6A9	BTLA	289
Q9P287	BCCIP TOK1	314
P68133	ACTA1 ACTA	377
Q5TBC7	BCL2L15 C1orf178	163
Q96NN9	AIFM3 AIFL	605
P42330	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	323
Q9Y243	AKT3 PKBG	479
P20292	ALOX5AP FLAP	161
Q9NZK5	ADA2 ADGF CECR1 IDGFL	511
O00253	AGRP AGRT ART	132
Q01668	CACNA1D CACH3 CACN4 CACNL1A2 CCHL1A2	2161
P50052	AGTR2	363
Q6UXT8	ALKAL1 FAM150A UNQ9433/PRO34745	129
Q9UL18	AGO1 EIF2C1	857
Q9BXL7	CARD11 CARMA1	1154
Q6ZN18	AEBP2	517
Q8TD06	AGR3 BCMP11 PDIA18 UNQ642/PRO1272	166
Q96LW7	CARD19 C9orf89	228
O15033	AREL1 KIAA0317	823
Q02410	APBA1 MINT1 X11	837
O00213	APBB1 FE65 RIR	710
Q9NYG5	ANAPC11 HSPC214	84
O14520	AQP7 AQP7L AQP9	342
Q96DR7	ARHGEF26 SGEF HMFN1864	871
Q96LA8	PRMT6 HRMT1L6	375
Q96KC2	ARL5B ARL8	179
Q6ZTQ4	CDHR3 CDH28	885
Q8IX05	CD302 CLEC13A DCL1 KIAA0022	232
P11802	CDK4	303
Q00535	CDK5 CDKN5	292
P49336	CDK8	464
P20963	CD247 CD3Z T3Z TCRZ	164
P29965	CD40LG CD40L TNFSF5 TRAP	261
O75956	CDK2AP2 DOC1R	126
Q9UBL3	ASH2L ASH2L1	628
Q08722	CD47 MER6	323
Q9BPX3	NCAPG CAPG NYMEL3	1015
O75390	CS	466
Q8TDQ1	CD300LF CD300F CLM1 IGSF13 IREM1 NKIR UNQ3105/PRO10111	290
Q9UJS0	SLC25A13 ARALAR2	675
Q96KN2	CNDP1 CN1 CPGL2 UNQ1915/PRO4380	507
Q16515	ASIC2 ACCN ACCN1 BNAC1 MDEG	512
Q9UNA0	ADAMTS5 ADAMTS11 ADMP2	930
P38398	BRCA1 RNF53	1863
P35222	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	781
P05937	CALB1 CAB27	261
P52907	CAPZA1	286
O14958	CASQ2	399
Q15878	CACNA1E CACH6 CACNL1A6	2313
Q9NV96	TMEM30A C6orf67 CDC50A	361
P49069	CAMLG CAML GET2	296
Q9HC52	CBX8 PC3 RC1	389
P08185	SERPINA6 CBG	405
Q2TBE0	CWF19L2	894
P38936	CDKN1A CAP20 CDKN1 CIP1 MDA6 PIC1 SDI1 WAF1	164
P23508	MCC	829
Q9NR09	BIRC6 KIAA1289	4857
Q9UHQ4	BCAP29 BAP29	241
Q14692	BMS1 BMS1L KIAA0187	1282
Q8WV28	BLNK BASH SLP65	456
O43709	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381	281
P22681	CBL CBL2 RNF55	906
O00257	CBX4	560
Q6IMN6	CAPRIN2 C1QDC1 EEG1 KIAA1873 RNG140	1127
P54284	CACNB3 CACNLB3	484
Q9Y3M2	CBY1 ARB1 C22orf2 CBY PGEA1 HRIHFB2025	126
P43155	CRAT CAT1	626
Q9P2D1	CHD7 KIAA1416	2997
Q9Y3E7	CHMP3 CGI149 NEDF VPS24 CGI-149	222
Q99675	CGRRF1 CGR19 RNF197	332
P02746	C1QB	253
Q8N5C1	CALHM5 C6orf188 FAM26E	309
P29016	CD1B	333
Q8TCG5	CPT1C CATL1	803
Q96A83	COL26A1 EMID2 EMU2	441
Q9GZT9	EGLN1 C1orf12 PNAS-118 PNAS-137	426
O43237	DYNC1LI2 DNCLI2 LIC2	492
Q8N465	D2HGDH D2HGD	521
P31689	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4	397
Q8WWF6	DNAJB3 HCG3	145
O75907	DGAT1 AGRP1 DGAT	488
O60832	DKC1 NOLA4	514
O95661	DIRAS3 ARHI NOEY2 RHOI	229
Q9Y2H6	FNDC3A FNDC3 HUGO KIAA0970	1198
Q9UBX2	DUX4 DUX10	424
Q8NAU1	FNDC5 FRCP2	212
P0DN84	STRIT1 DWORF	35
Q14195	DPYSL3 CRMP4 DRP3 ULIP ULIP1	570
Q8TEK3	DOT1L KIAA1814 KMT4	1537
Q9NX74	DUS2 DUS2L	493
Q8WXX0	DNAH7 KIAA0944	4024
Q9Y2J2	EPB41L3 DAL1 KIAA0987	1087
P06733	ENO1 ENO1L1 MBPB1 MPB1	434
Q9NZ08	ERAP1 APPILS ARTS1 KIAA0525 UNQ584/PRO1154	941
P12104	FABP2 FABPI	132
Q9UKB1	FBXW11 BTRCP2 FBW1B FBXW1B KIAA0696	542
P21802	FGFR2 BEK KGFR KSAM	821
P35555	FBN1 FBN	2871
Q9UBS5	GABBR1 GPRC3A	961
P08238	HSP90AB1 HSP90B HSPC2 HSPCB	724
P35914	HMGCL	325
Q6NT76	HMBOX1 HOT1 TAH1	420
O75506	HSBP1 HSF1BP	76
Q9NXN4	GDAP2	497
P08686	CYP21A2 CYP21 CYP21B	494
Q9HCG8	CWC22 KIAA1604 NCM	908
Q99895	CTRC CLCR	268
Q96PZ7	CSMD1 KIAA1890 UNQ5952/PRO19863	3564
P04626	ERBB2 HER2 MLN19 NEU NGL	1255
Q92905	COPS5 CSN5 JAB1	334
Q99627	COPS8 CSN8	209
P61073	CXCR4	352
P36383	GJC1 GJA7	396
P00167	CYB5A CYB5	134
O43927	CXCL13 BCA1 BLC SCYB13	109
O95715	CXCL14 MIP2G NJAC SCYB14 PSEC0212 UNQ240/PRO273	111
P26232	CTNNA2 CAPR	953
Q03468	ERCC6 CSB	1493
Q13216	ERCC8 CKN1 CSA	396
Q86UY5	FAM83A TSGP	434
Q5T0W9	FAM83B C6orf143	1011
P00740	F9	461
P22413	ENPP1 M6S1 NPPS PC1 PDNP1	925
P62495	ETF1 ERF1 RF1 SUP45L1	437
Q13822	ENPP2 ATX PDNP2	863
O14638	ENPP3 PDNP3	875
Q99814	EPAS1 BHLHE73 HIF2A MOP2 PASD2	870
Q9Y6X5	ENPP4 KIAA0879 NPP4	453
P03951	F11	625
Q9H2F5	EPC1	836
Q6UWV6	ENPP7 UNQ3077/PRO9912	458
P00748	F12	615
P16422	EPCAM GA733-2 M1S2 M4S1 MIC18 TACSTD1 TROP1	314
Q9Y4B6	DCAF1 KIAA0800 RIP VPRBP	1507
Q9UNN8	PROCR EPCR	238
Q9NUI1	DECR2 PDCR SDR17C1	292
Q9H816	DCLRE1B SNM1B	532
P02751	FN1 FN	2477
Q92841	DDX17	729
P01040	CSTA STF1 STFA	98
P49411	TUFM	452
P19419	ELK1	428
Q9Y3B6	EMC9 C14orf122 FAM158A CGI-112	208
P12724	RNASE3 ECP RNS3	160
Q14674	ESPL1 ESP1 KIAA0165	2120
P15104	GLUL GLNS	373
P84090	ERH	104
P03372	ESR1 ESR NR3A1	595
Q9UJM3	ERRFI1 MIG6	462
P10768	ESD	282
O95571	ETHE1 HSCO	254
Q9Y2C4	EXOG ENDOGL1 ENDOGL2 ENGL	368
O15520	FGF10	208
P55899	FCGRT FCRN	365
Q9NPI8	FANCF	374
Q8TB52	FBXO30 FBX30	745
O15287	FANCG XRCC9	622
P07902	GALT	379
O14556	GAPDHS GAPD2 GAPDH2 GAPDS HSD-35 HSD35	408
Q49A26	GLYR1 HIBDL NDF NP60	553
Q96FZ7	CHMP6 VPS20	201
P15391	CD19	556
Q96KC8	DNAJC1 HTJ1	554
P49366	DHPS DS	369
Q13042	CDC16 ANAPC6	620
P30260	CDC27 ANAPC3 D0S1430E D17S978E	824
Q9NVM6	DNAJC17	304
O00622	CCN1 CYR61 GIG1 IGFBP10	381
Q14002	CEACAM7 CGM2	265
P31997	CEACAM8 CGM6	349
Q15744	CEBPE	281
P30279	CCND2	289
P51671	CCL11 SCYA11	97
Q16627	CCL14 NCC2 SCYA14	93
Q8WYQ5	DGCR8 C22orf12 DGCRK6 LP4941	773
Q00536	CDK16 PCTAIRE1 PCTK1	496
P18545	PDE6G PDEG	87
Q9UHD1	CHORDC1 CHP1	332
Q9UDT6	CLIP2 CYLN2 KIAA0291 WBSCR3 WBSCR4 WSCR4	1046
Q03692	COL10A1	680
Q9BY84	DUSP16 KIAA1700 MKP7	665
Q8N3C7	CLIP4 RSNL2	705
P49759	CLK1 CLK	484
Q01094	E2F1 RBBP3	437
Q12860	CNTN1	1018
O94779	CNTN5	1100
Q9Y4K1	CRYBG1 AIM1	1723
Q96SW2	CRBN AD-006	442
P52943	CRIP2 CRP2	208
P24468	NR2F2 ARP1 TFCOUP2	414
P09669	COX6C	75
P11509	CYP2A6 CYP2A3	494
O14579	COPE	308
Q7Z4W1	DCXR SDR20C1	244
Q86US8	SMG6 C17orf31 EST1A KIAA0732	1419
Q12929	EPS8	822
Q0Z7S8	FABP9	132
Q5RKV6	EXOSC6 MTR3	272
P41161	ETV5 ERM	510
P07992	ERCC1	297
P54764	EPHA4 HEK8 SEK TYRO1	986
O95278	EPM2A	331
P36888	FLT3 CD135 FLK2 STK1	993
Q6UN15	FIP1L1 FIP1 RHE	594
P36980	CFHR2 CFHL2 FHR2 HFL3	270
Q9UK73	FEM1B F1AA KIAA0396	627
Q86XK2	FBXO11 FBX11 PRMT9 VIT1 UG063H01	927
Q9HB96	FANCE FACE	536
P11413	G6PD	515
P09958	FURIN FUR PACE PCSK3	794
O75593	FOXH1 FAST1 FAST2	365
Q12778	FOXO1 FKHR FOXO1A	655
Q08050	FOXM1 FKHL16 HFH11 MPP2 WIN	763
Q9H334	FOXP1 HSPC215	677
O15409	FOXP2 CAGH44 TNRC10	715
Q9H227	GBA3 CBG CBGL1	469
P09681	GIP	153
Q14549	GBX1	363
Q8IWJ2	GCC2 KIAA0336 RANBP2L4	1684
O60234	GMFG	142
P02708	CHRNA1 ACHRA CHNRA	482
Q13542	EIF4EBP2	120
Q8N5Z0	AADAT KAT2 KYAT2	425
